The container contains 10000 shapes:
Parallelepiped: a = 18  b = 15  c = 2, Volume = 540.0, Density = 11
Parallelepiped: a = 1  b = 4  c = 1, Volume = 4.0, Density = 24
Parallelepiped: a = 1  b = 5  c = 1, Volume = 5.0, Density = 5
Parallelepiped: a = 1  b = 1  c = 5, Volume = 5.0, Density = 0
Sphere: x = 2, Volume = 6.0, Density = 22
Sphere: x = 2, Volume = 6.0, Density = 7
Sphere: x = 2, Volume = 6.0, Density = 16
Sphere: x = 2, Volume = 6.0, Density = 7
Sphere: x = 2, Volume = 6.0, Density = 17
Sphere: x = 2, Volume = 6.0, Density = 3
Sphere: x = 2, Volume = 6.0, Density = 12
Sphere: x = 2, Volume = 6.0, Density = 10
Sphere: x = 2, Volume = 6.0, Density = 21
Sphere: x = 2, Volume = 6.0, Density = 15
Sphere: x = 2, Volume = 6.0, Density = 15
Sphere: x = 2, Volume = 6.0, Density = 11
Sphere: x = 2, Volume = 6.0, Density = 24
Sphere: x = 2, Volume = 6.0, Density = 20
Parallelepiped: a = 1  b = 3  c = 2, Volume = 6.0, Density = 2
Sphere: x = 2, Volume = 6.0, Density = 2
Sphere: x = 2, Volume = 6.0, Density = 22
Sphere: x = 2, Volume = 6.0, Density = 2
Sphere: x = 2, Volume = 6.0, Density = 9
Sphere: x = 2, Volume = 6.0, Density = 0
Sphere: x = 2, Volume = 6.0, Density = 12
Sphere: x = 2, Volume = 6.0, Density = 18
Sphere: x = 2, Volume = 6.0, Density = 1
Sphere: x = 2, Volume = 6.0, Density = 15
Sphere: x = 2, Volume = 6.0, Density = 4
Sphere: x = 2, Volume = 6.0, Density = 4
Sphere: x = 2, Volume = 6.0, Density = 7
Sphere: x = 2, Volume = 6.0, Density = 1
Sphere: x = 2, Volume = 6.0, Density = 12
Sphere: x = 2, Volume = 6.0, Density = 4
Sphere: x = 2, Volume = 6.0, Density = 15
Sphere: x = 2, Volume = 6.0, Density = 21
Sphere: x = 2, Volume = 6.0, Density = 7
Sphere: x = 2, Volume = 6.0, Density = 8
Sphere: x = 2, Volume = 6.0, Density = 18
Sphere: x = 2, Volume = 6.0, Density = 24
Sphere: x = 2, Volume = 6.0, Density = 0
Sphere: x = 2, Volume = 6.0, Density = 22
Sphere: x = 2, Volume = 6.0, Density = 8
Sphere: x = 2, Volume = 6.0, Density = 16
Sphere: x = 2, Volume = 6.0, Density = 22
Sphere: x = 2, Volume = 6.0, Density = 22
Sphere: x = 2, Volume = 6.0, Density = 24
Sphere: x = 2, Volume = 6.0, Density = 2
Sphere: x = 2, Volume = 6.0, Density = 1
Sphere: x = 2, Volume = 6.0, Density = 5
Sphere: x = 2, Volume = 6.0, Density = 4
Sphere: x = 2, Volume = 6.0, Density = 9
Sphere: x = 2, Volume = 6.0, Density = 10
Sphere: x = 2, Volume = 6.0, Density = 12
Sphere: x = 2, Volume = 6.0, Density = 23
Sphere: x = 2, Volume = 6.0, Density = 9
Sphere: x = 2, Volume = 6.0, Density = 12
Sphere: x = 2, Volume = 6.0, Density = 13
Sphere: x = 2, Volume = 6.0, Density = 0
Sphere: x = 2, Volume = 6.0, Density = 13
Sphere: x = 2, Volume = 6.0, Density = 16
Sphere: x = 2, Volume = 6.0, Density = 9
Sphere: x = 2, Volume = 6.0, Density = 6
Sphere: x = 2, Volume = 6.0, Density = 23
Sphere: x = 2, Volume = 6.0, Density = 11
Sphere: x = 2, Volume = 6.0, Density = 23
Sphere: x = 2, Volume = 6.0, Density = 1
Sphere: x = 2, Volume = 6.0, Density = 20
Sphere: x = 2, Volume = 6.0, Density = 4
Sphere: x = 2, Volume = 6.0, Density = 19
Sphere: x = 2, Volume = 6.0, Density = 19
Sphere: x = 2, Volume = 6.0, Density = 23
Sphere: x = 2, Volume = 6.0, Density = 20
Sphere: x = 2, Volume = 6.0, Density = 14
Sphere: x = 2, Volume = 6.0, Density = 23
Sphere: x = 2, Volume = 6.0, Density = 2
Sphere: x = 2, Volume = 6.0, Density = 12
Sphere: x = 2, Volume = 6.0, Density = 19
Sphere: x = 2, Volume = 6.0, Density = 2
Sphere: x = 2, Volume = 6.0, Density = 6
Sphere: x = 2, Volume = 6.0, Density = 1
Sphere: x = 2, Volume = 6.0, Density = 24
Sphere: x = 2, Volume = 6.0, Density = 1
Sphere: x = 2, Volume = 6.0, Density = 3
Sphere: x = 2, Volume = 6.0, Density = 23
Sphere: x = 2, Volume = 6.0, Density = 0
Sphere: x = 2, Volume = 6.0, Density = 2
Sphere: x = 2, Volume = 6.0, Density = 16
Sphere: x = 2, Volume = 6.0, Density = 15
Sphere: x = 2, Volume = 6.0, Density = 9
Sphere: x = 2, Volume = 6.0, Density = 20
Sphere: x = 2, Volume = 6.0, Density = 11
Sphere: x = 2, Volume = 6.0, Density = 1
Sphere: x = 2, Volume = 6.0, Density = 8
Sphere: x = 2, Volume = 6.0, Density = 23
Sphere: x = 2, Volume = 6.0, Density = 14
Sphere: x = 2, Volume = 6.0, Density = 12
Sphere: x = 2, Volume = 6.0, Density = 17
Sphere: x = 2, Volume = 6.0, Density = 12
Sphere: x = 2, Volume = 6.0, Density = 10
Sphere: x = 2, Volume = 6.0, Density = 23
Sphere: x = 2, Volume = 6.0, Density = 22
Sphere: x = 2, Volume = 6.0, Density = 13
Sphere: x = 2, Volume = 6.0, Density = 11
Sphere: x = 2, Volume = 6.0, Density = 5
Sphere: x = 2, Volume = 6.0, Density = 18
Sphere: x = 2, Volume = 6.0, Density = 1
Sphere: x = 2, Volume = 6.0, Density = 18
Sphere: x = 2, Volume = 6.0, Density = 4
Sphere: x = 2, Volume = 6.0, Density = 23
Sphere: x = 2, Volume = 6.0, Density = 16
Sphere: x = 2, Volume = 6.0, Density = 19
Sphere: x = 2, Volume = 6.0, Density = 5
Sphere: x = 2, Volume = 6.0, Density = 7
Sphere: x = 2, Volume = 6.0, Density = 9
Sphere: x = 2, Volume = 6.0, Density = 7
Sphere: x = 2, Volume = 6.0, Density = 7
Sphere: x = 2, Volume = 6.0, Density = 11
Sphere: x = 2, Volume = 6.0, Density = 1
Sphere: x = 2, Volume = 6.0, Density = 6
Sphere: x = 2, Volume = 6.0, Density = 11
Sphere: x = 2, Volume = 6.0, Density = 6
Sphere: x = 2, Volume = 6.0, Density = 11
Sphere: x = 2, Volume = 6.0, Density = 13
Sphere: x = 2, Volume = 6.0, Density = 9
Sphere: x = 2, Volume = 6.0, Density = 4
Sphere: x = 2, Volume = 6.0, Density = 22
Sphere: x = 2, Volume = 6.0, Density = 9
Sphere: x = 2, Volume = 6.0, Density = 5
Sphere: x = 2, Volume = 6.0, Density = 0
Sphere: x = 2, Volume = 6.0, Density = 7
Sphere: x = 2, Volume = 6.0, Density = 22
Sphere: x = 2, Volume = 6.0, Density = 15
Sphere: x = 2, Volume = 6.0, Density = 11
Sphere: x = 2, Volume = 6.0, Density = 1
Sphere: x = 2, Volume = 6.0, Density = 21
Parallelepiped: a = 3  b = 2  c = 1, Volume = 6.0, Density = 5
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 13
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 0
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 20
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 11
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 8
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 18
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 15
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 22
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 18
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 21
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 4
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 7
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 7
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 17
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 20
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 5
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 13
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 20
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 1
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 7
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 4
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 10
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 15
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 0
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 17
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 12
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 1
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 11
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 23
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 23
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 19
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 24
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 11
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 24
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 18
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 3
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 7
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 1
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 0
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 5
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 13
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 4
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 8
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 18
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 6
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 7
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 13
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 6
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 15
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 14
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 18
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 16
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 17
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 2
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 1
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 20
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 3
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 8
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 22
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 9
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 14
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 3
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 12
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 11
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 11
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 0
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 22
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 14
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 20
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 14
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 18
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 22
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 18
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 21
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 4
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 14
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 8
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 10
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 14
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 3
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 4
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 8
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 12
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 17
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 11
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 15
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 6
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 21
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 18
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 2
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 2
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 18
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 9
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 20
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 23
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 6
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 21
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 0
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 3
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 24
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 20
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 16
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 11
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 12
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 6
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 21
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 11
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 0
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 22
Parallelepiped: a = 1  b = 8  c = 1, Volume = 8.0, Density = 6
Parallelepiped: a = 1  b = 2  c = 4, Volume = 8.0, Density = 7
Parallelepiped: a = 1  b = 4  c = 2, Volume = 8.0, Density = 0
Parallelepiped: a = 1  b = 8  c = 1, Volume = 8.0, Density = 17
Parallelepiped: a = 2  b = 4  c = 1, Volume = 8.0, Density = 8
Parallelepiped: a = 2  b = 4  c = 1, Volume = 8.0, Density = 5
Parallelepiped: a = 1  b = 8  c = 1, Volume = 8.0, Density = 17
Parallelepiped: a = 1  b = 9  c = 1, Volume = 9.0, Density = 8
Parallelepiped: a = 2  b = 5  c = 1, Volume = 10.0, Density = 11
Parallelepiped: a = 5  b = 2  c = 1, Volume = 10.0, Density = 20
Parallelepiped: a = 6  b = 1  c = 2, Volume = 12.0, Density = 24
Parallelepiped: a = 1  b = 6  c = 2, Volume = 12.0, Density = 22
Parallelepiped: a = 3  b = 2  c = 2, Volume = 12.0, Density = 1
Parallelepiped: a = 1  b = 13  c = 1, Volume = 13.0, Density = 15
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 6
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 13
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 14
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 6
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 0
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 9
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 18
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 16
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 21
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 16
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 14
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 9
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 24
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 19
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 19
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 18
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 13
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 17
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 8
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 21
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 9
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 17
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 14
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 22
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 3
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 1
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 11
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 20
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 24
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 9
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 6
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 5
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 1
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 18
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 11
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 24
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 20
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 21
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 14
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 22
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 1
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 23
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 16
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 0
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 6
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 7
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 11
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 5
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 18
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 19
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 16
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 3
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 15
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 14
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 19
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 18
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 21
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 2
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 5
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 10
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 8
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 12
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 6
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 13
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 4
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 17
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 18
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 10
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 2
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 3
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 12
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 13
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 18
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 19
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 22
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 4
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 20
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 15
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 18
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 1
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 21
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 11
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 8
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 11
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 24
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 11
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 1
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 10
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 10
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 7
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 4
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 18
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 6
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 23
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 21
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 17
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 16
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 19
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 24
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 10
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 17
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 11
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 8
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 17
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 14
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 19
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 6
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 17
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 16
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 5
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 8
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 13
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 17
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 13
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 21
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 5
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 17
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 21
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 18
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 11
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 12
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 1
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 22
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 22
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 0
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 6
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 18
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 18
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 15
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 21
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 24
Parallelepiped: a = 1  b = 15  c = 1, Volume = 15.0, Density = 19
Parallelepiped: a = 15  b = 1  c = 1, Volume = 15.0, Density = 11
Parallelepiped: a = 1  b = 15  c = 1, Volume = 15.0, Density = 13
Parallelepiped: a = 2  b = 2  c = 4, Volume = 16.0, Density = 20
Parallelepiped: a = 1  b = 2  c = 8, Volume = 16.0, Density = 4
Parallelepiped: a = 1  b = 17  c = 1, Volume = 17.0, Density = 9
Parallelepiped: a = 1  b = 17  c = 1, Volume = 17.0, Density = 10
Parallelepiped: a = 1  b = 17  c = 1, Volume = 17.0, Density = 2
Parallelepiped: a = 1  b = 9  c = 2, Volume = 18.0, Density = 5
Parallelepiped: a = 2  b = 3  c = 3, Volume = 18.0, Density = 7
Parallelepiped: a = 1  b = 3  c = 6, Volume = 18.0, Density = 12
Parallelepiped: a = 5  b = 1  c = 4, Volume = 20.0, Density = 23
Parallelepiped: a = 10  b = 1  c = 2, Volume = 20.0, Density = 6
Parallelepiped: a = 5  b = 1  c = 4, Volume = 20.0, Density = 22
Parallelepiped: a = 5  b = 4  c = 1, Volume = 20.0, Density = 23
Parallelepiped: a = 10  b = 1  c = 2, Volume = 20.0, Density = 21
Sphere: x = 3, Volume = 20.25, Density = 16
Sphere: x = 3, Volume = 20.25, Density = 20
Sphere: x = 3, Volume = 20.25, Density = 17
Sphere: x = 3, Volume = 20.25, Density = 17
Sphere: x = 3, Volume = 20.25, Density = 8
Sphere: x = 3, Volume = 20.25, Density = 9
Sphere: x = 3, Volume = 20.25, Density = 18
Sphere: x = 3, Volume = 20.25, Density = 22
Sphere: x = 3, Volume = 20.25, Density = 18
Sphere: x = 3, Volume = 20.25, Density = 17
Sphere: x = 3, Volume = 20.25, Density = 0
Sphere: x = 3, Volume = 20.25, Density = 3
Sphere: x = 3, Volume = 20.25, Density = 19
Sphere: x = 3, Volume = 20.25, Density = 0
Sphere: x = 3, Volume = 20.25, Density = 12
Sphere: x = 3, Volume = 20.25, Density = 16
Sphere: x = 3, Volume = 20.25, Density = 9
Sphere: x = 3, Volume = 20.25, Density = 10
Sphere: x = 3, Volume = 20.25, Density = 24
Sphere: x = 3, Volume = 20.25, Density = 16
Sphere: x = 3, Volume = 20.25, Density = 4
Sphere: x = 3, Volume = 20.25, Density = 0
Sphere: x = 3, Volume = 20.25, Density = 7
Sphere: x = 3, Volume = 20.25, Density = 21
Sphere: x = 3, Volume = 20.25, Density = 3
Sphere: x = 3, Volume = 20.25, Density = 22
Sphere: x = 3, Volume = 20.25, Density = 8
Sphere: x = 3, Volume = 20.25, Density = 0
Sphere: x = 3, Volume = 20.25, Density = 0
Sphere: x = 3, Volume = 20.25, Density = 8
Sphere: x = 3, Volume = 20.25, Density = 17
Sphere: x = 3, Volume = 20.25, Density = 17
Sphere: x = 3, Volume = 20.25, Density = 15
Sphere: x = 3, Volume = 20.25, Density = 24
Sphere: x = 3, Volume = 20.25, Density = 3
Sphere: x = 3, Volume = 20.25, Density = 3
Sphere: x = 3, Volume = 20.25, Density = 0
Sphere: x = 3, Volume = 20.25, Density = 17
Sphere: x = 3, Volume = 20.25, Density = 13
Sphere: x = 3, Volume = 20.25, Density = 13
Sphere: x = 3, Volume = 20.25, Density = 7
Sphere: x = 3, Volume = 20.25, Density = 17
Sphere: x = 3, Volume = 20.25, Density = 0
Sphere: x = 3, Volume = 20.25, Density = 0
Sphere: x = 3, Volume = 20.25, Density = 19
Sphere: x = 3, Volume = 20.25, Density = 1
Sphere: x = 3, Volume = 20.25, Density = 24
Sphere: x = 3, Volume = 20.25, Density = 18
Sphere: x = 3, Volume = 20.25, Density = 6
Sphere: x = 3, Volume = 20.25, Density = 15
Sphere: x = 3, Volume = 20.25, Density = 22
Sphere: x = 3, Volume = 20.25, Density = 5
Sphere: x = 3, Volume = 20.25, Density = 0
Sphere: x = 3, Volume = 20.25, Density = 1
Sphere: x = 3, Volume = 20.25, Density = 15
Sphere: x = 3, Volume = 20.25, Density = 17
Sphere: x = 3, Volume = 20.25, Density = 17
Sphere: x = 3, Volume = 20.25, Density = 8
Sphere: x = 3, Volume = 20.25, Density = 23
Sphere: x = 3, Volume = 20.25, Density = 21
Sphere: x = 3, Volume = 20.25, Density = 5
Sphere: x = 3, Volume = 20.25, Density = 4
Sphere: x = 3, Volume = 20.25, Density = 15
Sphere: x = 3, Volume = 20.25, Density = 16
Sphere: x = 3, Volume = 20.25, Density = 11
Sphere: x = 3, Volume = 20.25, Density = 2
